premium_quintile,combos,mean_premium,mean_combo_price,mean_component_mid,mean_settlement,equal_combo_net_per_contract
1,726,-0.012943629257702398,0.21782172619085222,0.2307653554485546,0.162534435261708,0.04507578043931896
2,726,-0.00010889544176480221,0.1628618014328402,0.162970696874605,0.14049586776859505,0.013963886515917097
3,725,0.002598996746508216,0.17855445709788983,0.17595546035138165,0.1793103448275862,-0.010065689978402816
4,726,0.005283856483993907,0.20956393440409302,0.2042800779200991,0.2548209366391185,-0.055799745979417184
5,726,0.015698319071376313,0.3116668302209514,0.295968511149575,0.34573002754820936,-0.04733578102189563
