price_bucket,premium_sign,combos,mean_premium,mean_settlement,equal_combo_net_per_contract
0–10¢,premium > 0,374,0.002625073919489872,0.0106951871657754,0.03872898636925061
0–10¢,premium ≤ 0,263,-0.00880559530642032,0.0076045627376425855,0.040408566822486024
10–25¢,premium > 0,1303,0.005597097850834831,0.15809669992325404,-0.000993634045353364
10–25¢,premium ≤ 0,453,-0.008224553035487905,0.09933774834437085,0.057555790898284734
25–50¢,premium > 0,752,0.00963640252323796,0.42819148936170215,-0.10838686259910972
25–50¢,premium ≤ 0,316,-0.00892184062674634,0.310126582278481,0.00892934503139247
50–100¢,premium > 0,125,0.015165841907489529,0.64,-0.05539866212944951
50–100¢,premium ≤ 0,43,-0.021279213723666927,0.6744186046511628,-0.08351863509867889
