feature,pearson_with_net,spearman_with_net,within_price_pearson,within_price_spearman
mid_premium,-0.04386233347467911,0.035944603412946134,-0.026681053653906217,-0.07211682897259918
ask_premium,-0.02801503510228346,-0.05140097128337684,-0.02805650245485529,-0.08708762408448494
log_mid_ratio,-0.028237390690740143,-0.048795541770632715,-0.021977017474264608,-0.09886733280557072
spread_adjusted_premium,-0.04684255523971879,-0.016607065917210537,-0.03698538781255838,-0.08881066881580976
