sample,forecast,combos,mean_forecast,mean_settlement,bias,brier_score,mean_absolute_error,binary_auc
all_quality,combo_trade_price,3629,0.21610409412194903,0.21658859189859467,-0.00048449777664562847,0.13966603751568205,0.28948709380077775,0.7964365402636179
all_quality,component_bid_product,3629,0.20837249695041157,0.21658859189859467,-0.00821609494818309,0.14055182352304346,0.28688238508641134,0.791776194196898
all_quality,component_mid_product,3629,0.2139985005251995,0.21658859189859467,-0.0025900913733951586,0.1403201442242784,0.28932325059494757,0.7919668325130516
all_quality,component_ask_product,3629,0.21972217293868337,0.21658859189859467,0.00313358104008871,0.14016940571658018,0.29181533539764476,0.7921174188825014
2_leg,combo_trade_price,1279,0.288469430844969,0.2877247849882721,0.0007446458566969376,0.17212027066661642,0.3568893849008396,0.7681000334081038
2_leg,component_bid_product,1279,0.28173317546837806,0.2877247849882721,-0.005991609519894009,0.17303950781233196,0.35572291332138545,0.7633065670786999
2_leg,component_mid_product,1279,0.28811082413794875,0.2877247849882721,0.00038603914967668085,0.17285748419729907,0.35783934990752947,0.7631842695556722
2_leg,component_ask_product,1279,0.2945650963777865,0.2877247849882721,0.0068403113895143895,0.17277397734034275,0.35998689879776874,0.7634020188039898
3_leg_distinct_games,combo_trade_price,2264,0.174678255360409,0.17358657243816256,0.0010916829222464871,0.11910630292262664,0.2488199446700428,0.8129464996062847
3_leg_distinct_games,component_bid_product,2264,0.16676472112864846,0.17358657243816256,-0.006821851309514075,0.11968963887323437,0.2451994885012398,0.8119686714184493
3_leg_distinct_games,component_mid_product,2264,0.17184772277927846,0.17358657243816256,-0.0017388496588840831,0.11946060801594591,0.24779897186003036,0.8117843936445248
3_leg_distinct_games,component_ask_product,2264,0.1770352096329476,0.17358657243816256,0.003448637194785048,0.11929887371338974,0.2504595052462046,0.8115837960677436
3_leg_mixed_games,combo_trade_price,86,0.2304393649054835,0.29069767441860467,-0.060258309513121146,0.19825062959280224,0.35766029513804165,0.6750819672131148
3_leg_mixed_games,component_bid_product,86,0.21269455085730068,0.29069767441860467,-0.07800312356130394,0.20660110074592486,0.3604061322526496,0.6321311475409837
3_leg_mixed_games,component_mid_product,86,0.2214368600142565,0.29069767441860467,-0.06926081440434811,0.20556121573789846,0.3634962277468147,0.6314754098360655
3_leg_mixed_games,component_ask_product,86,0.230410380445345,0.29069767441860467,-0.060287293973259694,0.2047000725587993,0.36667777579418215,0.6334426229508197
