game,combos,allocated_equal_combo_net,losing_positions,combo_share
NO @ DET,1305,8.846040404263745,37,0.2682976973684211
ARI @ LAC,1205,7.013009699665554,40,0.24773848684210525
WAS @ PHI,1175,15.850670298748694,18,0.24157072368421054
BUF @ HOU,1160,5.75644346525741,47,0.23848684210526316
GB @ MIN,1130,11.20374586111663,24,0.23231907894736842
CHI @ CAR,1071,1.7024554544472605,53,0.22018914473684212
ATL @ PIT,994,5.818446061234021,34,0.20435855263157895
MIA @ LV,972,9.98419648545111,23,0.19983552631578946
DAL @ NYG,934,-0.2947569301027421,50,0.19202302631578946
BAL @ IND,884,-4.105094094651885,55,0.18174342105263158
TB @ CIN,870,11.64355878593066,12,0.17886513157894737
NYJ @ TEN,804,6.013059834539281,24,0.16529605263157895
CLE @ JAC,719,6.45335133456417,18,0.14782072368421054
